Gene n_LoF_HC
ENSG00000139618 3966
ENSG00000012048 2956
ENSG00000196712 2505
ENSG00000155657 1968
ENSG00000149311 1869
ENSG00000198947 1787
ENSG00000134982 1236
ENSG00000166147 1232
ENSG00000116062 992
ENSG00000095002 972
ENSG00000042781 871
ENSG00000130164 865
ENSG00000076242 789
ENSG00000083093 757
ENSG00000183091 740
ENSG00000144285 687
ENSG00000103197 669
ENSG00000008710 653
ENSG00000001626 630
ENSG00000167548 613
ENSG00000134571 605
ENSG00000116127 513
ENSG00000132549 512
ENSG00000170927 502
ENSG00000171862 494
ENSG00000183765 480
ENSG00000187741 480
ENSG00000196569 467
ENSG00000100697 464
ENSG00000108821 454
ENSG00000102174 445
ENSG00000141510 440
ENSG00000171316 436
ENSG00000122512 430
ENSG00000151835 429
ENSG00000198691 427
ENSG00000136492 426
ENSG00000169057 416
ENSG00000135636 413
ENSG00000039139 401
ENSG00000165699 401
ENSG00000198707 399
ENSG00000137474 389
ENSG00000188107 388
ENSG00000139687 386
ENSG00000185920 384
ENSG00000096696 372
ENSG00000114270 366
ENSG00000104320 355
ENSG00000113522 354
ENSG00000165671 353
ENSG00000204217 335
ENSG00000049618 328
ENSG00000055118 324
ENSG00000167522 308
ENSG00000164190 304
ENSG00000188153 298
ENSG00000104133 295
ENSG00000197299 293
ENSG00000162688 290
ENSG00000008086 286
ENSG00000196218 278
ENSG00000123191 275
ENSG00000182197 274
ENSG00000106991 267
ENSG00000039068 266
ENSG00000171298 266
ENSG00000138376 265
ENSG00000107736 259
ENSG00000021574 257
ENSG00000139219 255
ENSG00000164199 254
ENSG00000133895 249
ENSG00000101384 240
ENSG00000118058 240
ENSG00000066279 239
ENSG00000005339 236
ENSG00000081052 236
ENSG00000111670 231
ENSG00000160957 228
ENSG00000169031 226
ENSG00000113318 225
ENSG00000165392 225
ENSG00000169554 224
ENSG00000171759 223
ENSG00000128591 218
ENSG00000197283 216
ENSG00000131018 214
ENSG00000001631 204
ENSG00000154803 204
ENSG00000007372 203
ENSG00000127980 203
ENSG00000165194 203
ENSG00000100150 202
ENSG00000057294 201
ENSG00000092529 200
ENSG00000183873 200
ENSG00000091536 197
ENSG00000118046 197
ENSG00000141458 197
ENSG00000150275 194
ENSG00000168542 193
ENSG00000141837 191
ENSG00000091483 189
ENSG00000163930 189
ENSG00000134376 187
ENSG00000197969 182
ENSG00000072121 178
ENSG00000072778 176
ENSG00000075043 176
ENSG00000053918 174
ENSG00000160789 174
ENSG00000167210 173
ENSG00000091137 172
ENSG00000136854 169
ENSG00000178445 168
ENSG00000188419 163
ENSG00000108384 162
ENSG00000196878 162
ENSG00000225830 162
ENSG00000244734 161
ENSG00000132781 160
ENSG00000196924 158
ENSG00000173040 157
ENSG00000158169 156
ENSG00000161270 156
ENSG00000110799 155
ENSG00000118762 155
ENSG00000173575 155
ENSG00000104774 152
ENSG00000105618 151
ENSG00000130635 150
ENSG00000099949 149
ENSG00000103494 149
ENSG00000105877 149
ENSG00000170289 145
ENSG00000197603 144
ENSG00000136531 143
ENSG00000141646 142
ENSG00000107779 140
ENSG00000123066 140
ENSG00000146085 140
ENSG00000186575 139
ENSG00000127415 138
ENSG00000157540 137
ENSG00000185379 137
ENSG00000139567 136
ENSG00000185010 136
ENSG00000196628 135
ENSG00000072840 132
ENSG00000141431 132
ENSG00000179348 132
ENSG00000050030 130
ENSG00000053747 130
ENSG00000054983 130
ENSG00000168137 129
ENSG00000021826 128
ENSG00000171100 128
ENSG00000091262 127
ENSG00000114062 127
ENSG00000213614 124
ENSG00000215301 123
ENSG00000010671 122
ENSG00000117118 122
ENSG00000070061 121
ENSG00000275410 121
ENSG00000112619 120
ENSG00000181090 120
ENSG00000198836 120
ENSG00000134086 119
ENSG00000141012 119
ENSG00000145715 119
ENSG00000156313 119
ENSG00000168036 119
ENSG00000258366 119
ENSG00000005893 117
ENSG00000073578 117
ENSG00000036473 116
ENSG00000058085 116
ENSG00000089225 116
ENSG00000085998 115
ENSG00000187240 115
ENSG00000102393 114
ENSG00000117394 114
ENSG00000151348 114
ENSG00000176165 114
ENSG00000068976 113
ENSG00000070915 113
ENSG00000101986 111
ENSG00000127616 111
ENSG00000154767 111
ENSG00000140521 110
ENSG00000124587 108
ENSG00000124313 107
ENSG00000135100 107
ENSG00000174483 107
ENSG00000048342 106
ENSG00000070814 106
ENSG00000166311 106
ENSG00000142173 105
ENSG00000172482 105
ENSG00000125124 104
ENSG00000117054 103
ENSG00000183454 103
ENSG00000049540 102
ENSG00000143442 101
ENSG00000175198 101
ENSG00000187790 101
ENSG00000092200 100
ENSG00000115155 100
ENSG00000126705 99
ENSG00000157184 99
ENSG00000110719 98
ENSG00000160224 98
ENSG00000084674 97
ENSG00000135541 97
ENSG00000165240 97
ENSG00000188037 97
ENSG00000188603 97
ENSG00000138095 96
ENSG00000182871 96
ENSG00000185129 96
ENSG00000251322 96
ENSG00000100888 95
ENSG00000156650 95
ENSG00000006071 94
ENSG00000084754 94
ENSG00000151929 94
ENSG00000171714 94
ENSG00000020922 93
ENSG00000029534 93
ENSG00000101126 93
ENSG00000100393 92
ENSG00000160299 92
ENSG00000179270 92
ENSG00000005961 91
ENSG00000070729 91
ENSG00000104447 91
ENSG00000147044 91
ENSG00000221829 91
ENSG00000083168 90
ENSG00000135929 90
ENSG00000163359 90
ENSG00000169247 90
ENSG00000007168 89
ENSG00000138160 89
ENSG00000127990 88
ENSG00000213930 88
ENSG00000073734 87
ENSG00000114054 87
ENSG00000163755 87
ENSG00000196998 87
ENSG00000119042 86
ENSG00000138759 86
ENSG00000169432 86
ENSG00000072210 85
ENSG00000165168 85
ENSG00000007062 84
ENSG00000100299 84
ENSG00000132518 84
ENSG00000169083 84
ENSG00000010404 83
ENSG00000102001 83
ENSG00000142156 83
ENSG00000159140 83
ENSG00000197375 83
ENSG00000049860 82
ENSG00000092295 82
ENSG00000116745 82
ENSG00000133256 82
ENSG00000133835 82
ENSG00000166340 82
ENSG00000106633 81
ENSG00000108556 81
ENSG00000117400 81
ENSG00000144554 81
ENSG00000198198 81
ENSG00000011143 80
ENSG00000170264 80
ENSG00000170266 80
ENSG00000036828 79
ENSG00000040531 79
ENSG00000078070 79
ENSG00000081148 79
ENSG00000113273 79
ENSG00000136383 79
ENSG00000160200 79
ENSG00000188452 79
ENSG00000102218 78
ENSG00000128513 78
ENSG00000134371 78
ENSG00000015285 77
ENSG00000131697 77
ENSG00000072501 76
ENSG00000083123 76
ENSG00000100146 76
ENSG00000143669 76
ENSG00000152223 76
ENSG00000165102 76
ENSG00000197912 76
ENSG00000198910 76
ENSG00000004864 75
ENSG00000070182 75
ENSG00000104313 75
ENSG00000108883 75
ENSG00000140199 75
ENSG00000155850 75
ENSG00000158813 75
ENSG00000166068 75
ENSG00000008441 74
ENSG00000030582 74
ENSG00000103148 74
ENSG00000108823 74
ENSG00000147050 74
ENSG00000171320 74
ENSG00000046651 73
ENSG00000103876 73
ENSG00000113971 73
ENSG00000128159 73
ENSG00000130707 73
ENSG00000151779 73
ENSG00000153187 73
ENSG00000006611 72
ENSG00000049167 72
ENSG00000198589 72
ENSG00000114861 71
ENSG00000149131 71
ENSG00000166949 71
ENSG00000168646 71
ENSG00000171503 71
ENSG00000178209 71
ENSG00000187535 71
ENSG00000003393 70
ENSG00000075239 70
ENSG00000090581 70
ENSG00000107611 70
ENSG00000126012 70
ENSG00000159921 70
ENSG00000197563 70
ENSG00000092929 69
ENSG00000105607 69
ENSG00000106571 69
ENSG00000129757 69
ENSG00000204406 69
ENSG00000108946 68
ENSG00000122735 68
ENSG00000132915 68
ENSG00000138823 68
ENSG00000159216 68
ENSG00000167371 68
ENSG00000256269 68
ENSG00000039650 67
ENSG00000100207 67
ENSG00000131238 67
ENSG00000168827 67
ENSG00000196739 67
ENSG00000120071 66
ENSG00000133710 66
ENSG00000136872 66
ENSG00000146282 66
ENSG00000164692 66
ENSG00000259207 66
ENSG00000046604 65
ENSG00000104218 65
ENSG00000107521 65
ENSG00000132740 65
ENSG00000164953 65
ENSG00000060718 64
ENSG00000088926 64
ENSG00000090674 64
ENSG00000153208 64
ENSG00000162551 64
ENSG00000181027 64
ENSG00000198400 64
ENSG00000108784 63
ENSG00000109320 63
ENSG00000130714 63
ENSG00000147168 63
ENSG00000284862 63
ENSG00000095787 62
ENSG00000106692 62
ENSG00000113594 62
ENSG00000119899 62
ENSG00000162337 62
ENSG00000065057 61
ENSG00000088836 61
ENSG00000100578 61
ENSG00000101596 61
ENSG00000108557 61
ENSG00000144406 61
ENSG00000148606 61
ENSG00000164073 61
ENSG00000004848 60
ENSG00000112367 60
ENSG00000137992 60
ENSG00000140650 60
ENSG00000143614 60
ENSG00000148400 60
ENSG00000174469 60
ENSG00000176715 60
ENSG00000177189 60
ENSG00000178971 59
ENSG00000188641 59
ENSG00000188827 59
ENSG00000005471 58
ENSG00000101347 58
ENSG00000101680 58
ENSG00000104044 58
ENSG00000110090 58
ENSG00000114480 58
ENSG00000119685 58
ENSG00000130821 58
ENSG00000157766 58
ENSG00000188162 58
ENSG00000189079 58
ENSG00000038382 57
ENSG00000044090 57
ENSG00000077279 57
ENSG00000102805 57
ENSG00000106327 57
ENSG00000107882 57
ENSG00000160882 57
ENSG00000169297 57
ENSG00000183337 57
ENSG00000196839 57
ENSG00000080603 56
ENSG00000122126 56
ENSG00000123607 56
ENSG00000134755 56
ENSG00000138375 56
ENSG00000140525 56
ENSG00000088035 55
ENSG00000094914 55
ENSG00000137106 55
ENSG00000147889 55
ENSG00000180176 55
ENSG00000272333 55
ENSG00000025708 54
ENSG00000044446 54
ENSG00000087460 54
ENSG00000103449 54
ENSG00000112357 54
ENSG00000136280 54
ENSG00000140279 54
ENSG00000144535 54
ENSG00000151914 54
ENSG00000154864 54
ENSG00000162430 54
ENSG00000273079 54
ENSG00000065618 53
ENSG00000081248 53
ENSG00000119392 53
ENSG00000125414 53
ENSG00000138002 53
ENSG00000145348 53
ENSG00000145375 53
ENSG00000147804 53
ENSG00000248098 53
ENSG00000077498 52
ENSG00000109501 52
ENSG00000131844 52
ENSG00000134250 52
ENSG00000135903 52
ENSG00000145020 52
ENSG00000157103 52
ENSG00000158887 52
ENSG00000163554 52
ENSG00000177646 52
ENSG00000102104 51
ENSG00000107186 51
ENSG00000119772 51
ENSG00000124813 51
ENSG00000126522 51
ENSG00000146247 51
ENSG00000148290 51
ENSG00000157796 51
ENSG00000159267 51
ENSG00000173599 51
ENSG00000023839 50
ENSG00000075702 50
ENSG00000092969 50
ENSG00000107290 50
ENSG00000124486 50
ENSG00000144191 50
ENSG00000148600 50
ENSG00000152217 50
ENSG00000155465 50
ENSG00000163069 50
ENSG00000164362 50
ENSG00000164904 50
ENSG00000181449 50
ENSG00000081479 49
ENSG00000111799 49
ENSG00000116039 49
ENSG00000125398 49
ENSG00000164134 49
ENSG00000165899 49
ENSG00000179950 49
ENSG00000204248 49
ENSG00000102452 48
ENSG00000112041 48
ENSG00000114209 48
ENSG00000124721 48
ENSG00000132535 48
ENSG00000151611 48
ENSG00000171595 48
ENSG00000009830 47
ENSG00000128928 47
ENSG00000136936 47
ENSG00000144455 47
ENSG00000174227 47
ENSG00000038002 46
ENSG00000047457 46
ENSG00000099956 46
ENSG00000107099 46
ENSG00000143387 46
ENSG00000157911 46
ENSG00000189056 46
ENSG00000065154 45
ENSG00000100106 45
ENSG00000100427 45
ENSG00000101981 45
ENSG00000102683 45
ENSG00000140262 45
ENSG00000151849 45
ENSG00000153827 45
ENSG00000169562 45
ENSG00000171365 45
ENSG00000172893 45
ENSG00000177000 45
ENSG00000179477 45
ENSG00000278570 45
ENSG00000005483 44
ENSG00000095464 44
ENSG00000104381 44
ENSG00000112319 44
ENSG00000113924 44
ENSG00000116218 44
ENSG00000119866 44
ENSG00000122507 44
ENSG00000124275 44
ENSG00000127463 44
ENSG00000134160 44
ENSG00000136944 44
ENSG00000141519 44
ENSG00000151092 44
ENSG00000156983 44
ENSG00000169375 44
ENSG00000171456 44
ENSG00000175084 44
ENSG00000175445 44
ENSG00000184381 44
ENSG00000188994 44
ENSG00000196663 44
ENSG00000206561 44
ENSG00000091140 43
ENSG00000117713 43
ENSG00000119139 43
ENSG00000128973 43
ENSG00000135338 43
ENSG00000156970 43
ENSG00000172037 43
ENSG00000198677 43
ENSG00000055609 42
ENSG00000074582 42
ENSG00000125863 42
ENSG00000173226 42
ENSG00000188158 42
ENSG00000204370 42
ENSG00000011201 41
ENSG00000068615 41
ENSG00000068724 41
ENSG00000102245 41
ENSG00000107798 41
ENSG00000110274 41
ENSG00000111276 41
ENSG00000113327 41
ENSG00000115839 41
ENSG00000117305 41
ENSG00000117385 41
ENSG00000131828 41
ENSG00000137834 41
ENSG00000141367 41
ENSG00000146872 41
ENSG00000166813 41
ENSG00000167995 41
ENSG00000168263 41
ENSG00000171735 41
ENSG00000172053 41
ENSG00000184937 41
ENSG00000196296 41
ENSG00000213689 41
ENSG00000081189 40
ENSG00000104884 40
ENSG00000108733 40
ENSG00000110711 40
ENSG00000114200 40
