Gene n_LoF
ENSG00000139618 4028
ENSG00000012048 3039
ENSG00000196712 2505
ENSG00000155657 1970
ENSG00000149311 1898
ENSG00000198947 1787
ENSG00000166147 1244
ENSG00000134982 1237
ENSG00000116062 1013
ENSG00000095002 996
ENSG00000130164 873
ENSG00000042781 871
ENSG00000076242 859
ENSG00000083093 811
ENSG00000183091 741
ENSG00000144285 687
ENSG00000103197 684
ENSG00000008710 674
ENSG00000001626 655
ENSG00000167548 613
ENSG00000134571 605
ENSG00000132549 528
ENSG00000116127 513
ENSG00000170927 505
ENSG00000183765 501
ENSG00000171862 495
ENSG00000187741 489
ENSG00000196569 474
ENSG00000188107 470
ENSG00000108821 466
ENSG00000100697 464
ENSG00000102174 461
ENSG00000136492 456
ENSG00000141510 449
ENSG00000171316 448
ENSG00000151835 431
ENSG00000122512 430
ENSG00000198691 428
ENSG00000169057 425
ENSG00000135636 414
ENSG00000198707 413
ENSG00000039139 403
ENSG00000165699 401
ENSG00000137474 389
ENSG00000139687 386
ENSG00000185920 384
ENSG00000096696 377
ENSG00000114270 367
ENSG00000104320 359
ENSG00000165671 356
ENSG00000113522 354
ENSG00000204217 335
ENSG00000049618 331
ENSG00000055118 325
ENSG00000133895 313
ENSG00000167522 312
ENSG00000164190 309
ENSG00000188153 304
ENSG00000104133 301
ENSG00000197299 294
ENSG00000162688 293
ENSG00000008086 289
ENSG00000123191 285
ENSG00000138376 282
ENSG00000196218 280
ENSG00000182197 274
ENSG00000171298 270
ENSG00000039068 269
ENSG00000106991 267
ENSG00000021574 266
ENSG00000139219 266
ENSG00000107736 259
ENSG00000164199 255
ENSG00000081052 250
ENSG00000066279 240
ENSG00000101384 240
ENSG00000118058 240
ENSG00000005339 236
ENSG00000111670 234
ENSG00000171759 231
ENSG00000160957 230
ENSG00000169031 226
ENSG00000169554 226
ENSG00000113318 225
ENSG00000128591 225
ENSG00000165392 225
ENSG00000075043 224
ENSG00000154803 219
ENSG00000197283 216
ENSG00000007372 215
ENSG00000131018 215
ENSG00000183873 209
ENSG00000091483 205
ENSG00000001631 204
ENSG00000057294 204
ENSG00000127980 204
ENSG00000165194 203
ENSG00000100150 202
ENSG00000091536 201
ENSG00000092529 200
ENSG00000104237 199
ENSG00000134376 199
ENSG00000141458 199
ENSG00000118046 197
ENSG00000168542 197
ENSG00000244734 196
ENSG00000150275 195
ENSG00000141837 192
ENSG00000163930 189
ENSG00000072778 184
ENSG00000197969 182
ENSG00000053918 181
ENSG00000072121 178
ENSG00000167210 177
ENSG00000160789 175
ENSG00000091137 173
ENSG00000132781 172
ENSG00000136854 171
ENSG00000158169 170
ENSG00000173040 170
ENSG00000134086 169
ENSG00000225830 169
ENSG00000108384 168
ENSG00000178445 168
ENSG00000196878 167
ENSG00000188419 164
ENSG00000196924 163
ENSG00000105877 161
ENSG00000161270 161
ENSG00000104774 159
ENSG00000130635 158
ENSG00000118762 156
ENSG00000127415 156
ENSG00000139567 156
ENSG00000110799 155
ENSG00000173575 155
ENSG00000141646 154
ENSG00000146085 154
ENSG00000102393 153
ENSG00000105618 153
ENSG00000114062 153
ENSG00000170289 152
ENSG00000099949 150
ENSG00000103494 149
ENSG00000107779 145
ENSG00000197603 145
ENSG00000054983 144
ENSG00000185010 144
ENSG00000136531 143
ENSG00000112619 140
ENSG00000123066 140
ENSG00000186575 139
ENSG00000157540 138
ENSG00000185379 138
ENSG00000196628 135
ENSG00000179348 134
ENSG00000053747 132
ENSG00000072840 132
ENSG00000141431 132
ENSG00000143631 132
ENSG00000179941 132
ENSG00000050030 130
ENSG00000166311 130
ENSG00000171100 130
ENSG00000091262 129
ENSG00000117118 129
ENSG00000168137 129
ENSG00000213614 129
ENSG00000021826 128
ENSG00000010671 126
ENSG00000058085 126
ENSG00000101986 123
ENSG00000145715 123
ENSG00000215301 123
ENSG00000258366 123
ENSG00000070061 122
ENSG00000141012 122
ENSG00000156313 122
ENSG00000181090 122
ENSG00000010404 121
ENSG00000117394 121
ENSG00000198836 121
ENSG00000275410 121
ENSG00000085998 119
ENSG00000142173 119
ENSG00000168036 119
ENSG00000036473 118
ENSG00000005893 117
ENSG00000068976 117
ENSG00000073578 117
ENSG00000176165 117
ENSG00000070915 116
ENSG00000089225 116
ENSG00000140521 116
ENSG00000187240 115
ENSG00000151348 114
ENSG00000135100 113
ENSG00000124313 112
ENSG00000154767 112
ENSG00000174483 112
ENSG00000127616 111
ENSG00000124587 110
ENSG00000100393 109
ENSG00000157184 109
ENSG00000048342 107
ENSG00000125124 107
ENSG00000172482 107
ENSG00000070814 106
ENSG00000117054 106
ENSG00000155850 106
ENSG00000084674 105
ENSG00000049540 104
ENSG00000108784 103
ENSG00000151929 103
ENSG00000175198 103
ENSG00000183454 103
ENSG00000084754 102
ENSG00000100299 102
ENSG00000110719 101
ENSG00000143442 101
ENSG00000187790 101
ENSG00000092200 100
ENSG00000115155 100
ENSG00000160224 100
ENSG00000188603 100
ENSG00000126705 99
ENSG00000182871 99
ENSG00000106571 98
ENSG00000165240 98
ENSG00000185129 98
ENSG00000135541 97
ENSG00000171714 97
ENSG00000188037 97
ENSG00000251322 97
ENSG00000006071 96
ENSG00000106633 96
ENSG00000138095 96
ENSG00000221829 96
ENSG00000100888 95
ENSG00000101126 95
ENSG00000156650 95
ENSG00000135929 94
ENSG00000196998 94
ENSG00000005961 93
ENSG00000020922 93
ENSG00000029534 93
ENSG00000113273 93
ENSG00000179270 93
ENSG00000213930 93
ENSG00000147044 92
ENSG00000160299 92
ENSG00000169247 92
ENSG00000070729 91
ENSG00000104447 91
ENSG00000114054 91
ENSG00000165168 91
ENSG00000083168 90
ENSG00000108556 90
ENSG00000163359 90
ENSG00000007168 89
ENSG00000049860 89
ENSG00000073734 89
ENSG00000127990 89
ENSG00000138160 89
ENSG00000166340 88
ENSG00000119042 87
ENSG00000138759 87
ENSG00000149131 87
ENSG00000163755 87
ENSG00000117400 86
ENSG00000169083 86
ENSG00000169432 86
ENSG00000170266 86
ENSG00000197375 86
ENSG00000072210 85
ENSG00000092295 85
ENSG00000132518 85
ENSG00000007062 84
ENSG00000116745 84
ENSG00000133835 84
ENSG00000142156 84
ENSG00000102001 83
ENSG00000133256 83
