Chr Start End
chr1 1050726 1050838
chr1 1051253 1051370
chr1 1516012 1516089
chr1 1525240 1525292
chr1 1527695 1527789
chr1 1787334 1787438
chr1 1789053 1789270
chr1 1804419 1804582
chr1 1806475 1806539
chr1 1815756 1815809
chr1 2229025 2229336
chr1 2406484 2406580
chr1 2412391 2412452
chr1 6124517 6124662
chr1 6125524 6125613
chr1 6128878 6129070
chr1 6130148 6130329
chr1 6131631 6131749
chr1 6148854 6148992
chr1 6469544 6469677
chr1 7670911 7671038
chr1 7736467 7736541
chr1 7962795 7962876
chr1 7965423 7965426
chr1 9717561 9717627
chr1 9720742 9720910
chr1 9722329 9722357
chr1 9726909 9727035
chr1 9972107 9972189
chr1 9975592 9975776
chr1 9981031 9981171
chr1 10258493 10258673
chr1 11022124 11022196
chr1 11115396 11115469
chr1 11128091 11128127
chr1 11139427 11139436
chr1 11167442 11167518
chr1 11992656 11992691
chr1 11996156 11996319
chr1 11997297 11997422
chr1 11998770 11998879
chr1 11998988 11999096
chr1 12011496 12011554
chr1 15440493 15440591
chr1 15461561 15461659
chr1 15462733 15462862
chr1 15463386 15463523
chr1 16129434 16129550
chr1 16131721 16131871
chr1 17023997 17024075
chr1 17028624 17028737
chr1 17033060 17033146
chr1 17044761 17044790
chr1 20637920 20638130
chr1 20644490 20644673
chr1 20648505 20648633
chr1 21219958 21220132
chr1 21247221 21247364
chr1 21864843 21864882
chr1 21885320 21885432
chr1 22644114 22644205
chr1 22907953 22908169
chr1 22909022 22909172
chr1 23082220 23082367
chr1 23796151 23796266
chr1 23796751 23796783
chr1 23797034 23797148
chr1 23797695 23797872
chr1 23798117 23798231
chr1 23798615 23798731
chr1 23804400 23804526
chr1 23808135 23808324
chr1 23810736 23810800
chr1 23820510 23820594
chr1 23846074 23846174
chr1 25284573 25284760
chr1 25303322 25303460
chr1 26061190 26061318
chr1 26767850 26768000
chr1 26771119 26771245
chr1 27105885 27106088
chr1 27109527 27109778
chr1 28993489 28993543
chr1 29196210 29196259
chr1 29325191 29325327
chr1 30933268 30933343
chr1 30936643 30936836
chr1 30941998 30942124
chr1 30953714 30953824
chr1 32279581 32279748
chr1 32326939 32327078
chr1 32889076 32889183
chr1 33013370 33013403
chr1 35918322 35918424
chr1 35919055 35919238
chr1 36467822 36467963
chr1 36472239 36472392
chr1 37804302 37804445
chr1 37807792 37807983
chr1 37945756 37945851
chr1 39463612 39463687
chr1 39468615 39468732
chr1 39844101 39844162
chr1 40271987 40272036
chr1 40281343 40281528
chr1 40285925 40286030
chr1 40818505 40818681
chr1 40819347 40819473
chr1 40819875 40819986
chr1 40820165 40820192
chr1 42928932 42929034
chr1 42929210 42929315
chr1 42929593 42929781
chr1 42929873 42930036
chr1 42930632 42930722
chr1 42943226 42943322
chr1 42958634 42958652
chr1 43311673 43311830
chr1 43321616 43321716
chr1 43346800 43346935
chr1 43348843 43348993
chr1 44636030 44636163
chr1 44981021 44981157
chr1 45013136 45013216
chr1 45013909 45014071
chr1 45014736 45014837
chr1 45014940 45015007
chr1 45327167 45327553
chr1 45327626 45328132
chr1 45330540 45330558
chr1 45331420 45331557
chr1 45331661 45331749
chr1 45332166 45332226
chr1 45332235 45332311
chr1 45332391 45332489
chr1 45332763 45332835
chr1 45333097 45333171
chr1 45334391 45334512
chr1 45343082 45343136
chr1 46194845 46194962
chr1 46195811 46195925
chr1 46267459 46267603
chr1 46274138 46274217
chr1 46277817 46277907
chr1 47416526 47416642
chr1 50973893 50974247
chr1 52397685 52397864
chr1 52401362 52401453
chr1 53197088 53197096
chr1 53210015 53210044
chr1 54875093 54875212
chr1 54883618 54883774
chr1 55052403 55052412
chr1 55057331 55057515
chr1 58576722 58576949
chr1 58667038 58667227
chr1 61082792 61082819
chr1 61088413 61088681
chr1 62602285 62602381
chr1 63593531 63593735
chr1 63629425 63629588
chr1 63634829 63635020
chr1 63636234 63636261
chr1 63654332 63654443
chr1 64844064 64844216
chr1 64845513 64845641
chr1 64846649 64846737
chr1 65411331 65411427
chr1 65572331 65572447
chr1 65601392 65601683
chr1 65609947 65610097
chr1 75732649 75732742
chr1 75733528 75733629
chr1 75734791 75734854
chr1 75740079 75740111
chr1 75745806 75745915
chr1 75749419 75749476
chr1 75749509 75749560
chr1 75750451 75750547
chr1 75761122 75761371
chr1 75762692 75762740
chr1 77942545 77942811
chr1 84182221 84182329
chr1 84184037 84184136
chr1 84202683 84202806
chr1 85270661 85270907
chr1 91319293 91319391
chr1 91352506 91352652
chr1 91353256 91353300
chr1 92476113 92476196
chr1 92836190 92836193
chr1 94000836 94000929
chr1 94001002 94001106
chr1 94001858 94001993
chr1 94007634 94007741
chr1 94008751 94008775
chr1 94041251 94041403
chr1 94042761 94042899
chr1 94043336 94043476
chr1 94044613 94044745
chr1 94046919 94047053
chr1 97740392 97740480
chr1 99864386 99864590
chr1 99874687 99874811
chr1 99875358 99875456
chr1 99877641 99877829
chr1 99896286 99896389
chr1 99900636 99900862
chr1 99916410 99916498
chr1 100123210 100123290
chr1 100230749 100230915
chr1 100235436 100235498
chr1 100467956 100468095
chr1 102888723 102888759
chr1 102898666 102898738
chr1 103004608 103004662
chr1 103074618 103074781
chr1 103078658 103078872
chr1 103550941 103551074
chr1 109066135 109066233
chr1 109074987 109075003
chr1 109231646 109231787
chr1 109235977 109236107
chr1 109548814 109548839
chr1 109573737 109573780
chr1 109603357 109603545
chr1 109605970 109606100
chr1 109610465 109610508
chr1 109612753 109612778
chr1 109627892 109627904
chr1 109628643 109628807
chr1 109629327 109629491
chr1 109630683 109630794
chr1 110061525 110061564
chr1 110064587 110064731
chr1 113901236 113901384
chr1 113901755 113901886
chr1 115033420 115033525
chr1 116384783 116384843
chr1 116387288 116387453
chr1 116399031 116399085
chr1 116399420 116399544
chr1 116400861 116401007
chr1 116401130 116401261
chr1 119415435 119415562
chr1 119421809 119422189
chr1 119735295 119735444
chr1 119737114 119737267
chr1 119757273 119757439
chr1 119759118 119759283
chr1 119759880 119759990
chr1 119764172 119764584
chr1 119919312 119919614
chr1 119968077 119968099
chr1 119968102 119968218
chr1 119986960 119987057
chr1 146018191 146018670
chr1 146019175 146019724
chr1 147758552 147758752
chr1 147759011 147759112
chr1 147908082 147908183
chr1 147908436 147908597
chr1 150498502 150498665
chr1 150504335 150504436
chr1 150796805 150796899
chr1 150799544 150799710
chr1 150806102 150806225
chr1 151028786 151028945
chr1 151405780 151405992
chr1 151412326 151412391
chr1 151668472 151668636
chr1 151817195 151817270
chr1 153818827 153818913
chr1 153938933 153939046
chr1 154435969 154436110
chr1 154585217 154585345
chr1 154585753 154585866
chr1 154586181 154586364
chr1 154588125 154588259
chr1 154588551 154588674
chr1 154589369 154589463
chr1 154992713 154992787
chr1 155235013 155235101
chr1 155235302 155235312
chr1 155235681 155235845
chr1 155236245 155236470
chr1 155237341 155237579
chr1 155238134 155238307
chr1 155238517 155238651
chr1 155239616 155239722
chr1 155291756 155291938
chr1 155293177 155293254
chr1 155293302 155293344
chr1 155293438 155293591
chr1 155294235 155294386
chr1 155295437 155295569
chr1 155295665 155295757
chr1 155342017 155342103
chr1 155612182 155612317
chr1 155612844 155612916
chr1 156115009 156115275
chr1 156130617 156130774
chr1 156134805 156134976
chr1 156135187 156135313
chr1 156135901 156136122
chr1 156136338 156136437
chr1 156136921 156137029
chr1 156137113 156137233
chr1 156137654 156137681
chr1 156138488 156138575
chr1 156162944 156163095
chr1 156592111 156592210
chr1 156593408 156593627
chr1 156873677 156873877
chr1 156876106 156876211
chr1 156879122 156879363
chr1 158091358 158091550
chr1 159193428 159193561
chr1 160041513 160041998
chr1 160042017 160042439
chr1 160135940 160135994
chr1 160136247 160136371
chr1 160136570 160136716
chr1 160136901 160137032
chr1 160139640 160139742
chr1 160139893 160139966
chr1 160237135 160237230
chr1 160323431 160323531
chr1 161076355 161076465
chr1 161077472 161077741
chr1 161167100 161167235
chr1 161167371 161167487
chr1 161167995 161168128
chr1 161168432 161168577
chr1 161169660 161169721
chr1 161170409 161170520
chr1 161209857 161209932
chr1 161213649 161213733
chr1 161305879 161305978
chr1 161306727 161306922
chr1 161307258 161307417
chr1 161819639 161819819
chr1 161983678 161984277
chr1 161984804 161984979
chr1 162333017 162333126
chr1 162522404 162522509
chr1 162754624 162754856
chr1 162773469 162773597
chr1 162775652 162775844
chr1 162776136 162776371
chr1 162778580 162778730
chr1 164792494 164792739
chr1 164799699 164799890
chr1 164807542 164807678
chr1 164811990 164812035
chr1 165249442 165249630
