Chr Start End
chr1 69190 69930
chr1 182514 182543
chr1 182709 182747
chr1 183114 183115
chr1 183133 183208
chr1 186363 186431
chr1 187280 187288
chr1 187376 187578
chr1 187755 187887
chr1 188022 188029
chr1 188102 188106
chr1 188126 188267
chr1 188439 188487
chr1 188489 188585
chr1 188791 188903
chr1 195259 195376
chr1 450818 451559
chr1 685794 686535
chr1 924882 924949
chr1 925922 925963
chr1 943908 943932
chr1 961459 961553
chr1 961637 961751
chr1 961826 961901
chr1 961916 962048
chr1 962355 962472
chr1 962704 962764
chr1 970379 970424
chr1 970521 970602
chr1 970686 970761
chr1 970881 970971
chr1 971164 971209
chr1 971324 971405
chr1 972075 972151
chr1 972288 972380
chr1 999296 999397
chr1 999545 999614
chr1 999692 999797
chr1 999866 999875
chr1 1022414 1022463
chr1 1035277 1035285
chr1 1040724 1040881
chr1 1041173 1041178
chr1 1041478 1041483
chr1 1043239 1043244
chr1 1043538 1043543
chr1 1043823 1043828
chr1 1043843 1044022
chr1 1044204 1044258
chr1 1045161 1045163
chr1 1045364 1045524
chr1 1045733 1045735
chr1 1046032 1046089
chr1 1046160 1046266
chr1 1046397 1046399
chr1 1046957 1046958
chr1 1047776 1047856
chr1 1048012 1048017
chr1 1049903 1049917
chr1 1049920 1050033
chr1 1051032 1051044
chr1 1051453 1051537
chr1 1051993 1052017
chr1 1053461 1053494
chr1 1054448 1054552
chr1 1180297 1180341
chr1 1180483 1180602
chr1 1180731 1180861
chr1 1181741 1181816
chr1 1182361 1182447
chr1 1182876 1183048
chr1 1183920 1184092
chr1 1184969 1185110
chr1 1196600 1196717
chr1 1197093 1197187
chr1 1197438 1197482
chr1 1204176 1204237
chr1 1204399 1204455
chr1 1217554 1217689
chr1 1217778 1217805
chr1 1218458 1218539
chr1 1218566 1218634
chr1 1218769 1218916
chr1 1223305 1223358
chr1 1223832 1223887
chr1 1223896 1223969
chr1 1228468 1228503
chr1 1243062 1243153
chr1 1243444 1243553
chr1 1243954 1244047
chr1 1256054 1256126
chr1 1256992 1257131
chr1 1257208 1257311
chr1 1262389 1262391
chr1 1263346 1263387
chr1 1264783 1264831
chr1 1267862 1267960
chr1 1293705 1293709
chr1 1293823 1293934
chr1 1294090 1294200
chr1 1294402 1294525
chr1 1295866 1295939
chr1 1296015 1296110
chr1 1296211 1296281
chr1 1296425 1296556
chr1 1297861 1297934
chr1 1298013 1298114
chr1 1298370 1298422
chr1 1298567 1298629
chr1 1309709 1309852
chr1 1310634 1310689
chr1 1310909 1311062
chr1 1313077 1313125
chr1 1313509 1313593
chr1 1313732 1313922
chr1 1314301 1314336
chr1 1314824 1314963
chr1 1315404 1315439
chr1 1315520 1315619
chr1 1318972 1319525
chr1 1320456 1320530
chr1 1320996 1321080
chr1 1326992 1327033
chr1 1327241 1327647
chr1 1340038 1340098
chr1 1340247 1340266
chr1 1342470 1342485
chr1 1342689 1342759
chr1 1354767 1355153
chr1 1355244 1355245
chr1 1355251 1355346
chr1 1355450 1355742
chr1 1374021 1374122
chr1 1390459 1390564
chr1 1390766 1390866
chr1 1391296 1391325
chr1 1393396 1393452
chr1 1395445 1395515
chr1 1398233 1398343
chr1 1398597 1398657
chr1 1439081 1439361
chr1 1439449 1439730
chr1 1452064 1452123
chr1 1452365 1452435
chr1 1455460 1455466
chr1 1472002 1472090
chr1 1477274 1477312
chr1 1478644 1478746
chr1 1479049 1479109
chr1 1480867 1480933
chr1 1486176 1486236
chr1 1486544 1486669
chr1 1487863 1487915
chr1 1489204 1489275
chr1 1490257 1490351
chr1 1512395 1512474
chr1 1517716 1517776
chr1 1518921 1518987
chr1 1523905 1523965
chr1 1524273 1524398
chr1 1526461 1526532
chr1 1599518 1599796
chr1 1623453 1623692
chr1 1623774 1623922
chr1 1624820 1624902
chr1 1624991 1625146
chr1 1625567 1625647
chr1 1627311 1627445
chr1 1628019 1628180
chr1 1628273 1628400
chr1 1628489 1628644
chr1 1629133 1629265
chr1 1629497 1629567
chr1 1629639 1629677
chr1 1630393 1630494
chr1 1632876 1632914
chr1 1632981 1633121
chr1 1633188 1633424
chr1 1633748 1633918
chr1 1634240 1634329
chr1 1634451 1634593
chr1 1636063 1636127
chr1 1636333 1636482
chr1 1636682 1636799
chr1 1636897 1637005
chr1 1637081 1637203
chr1 1637408 1637514
chr1 1637762 1637884
chr1 1638500 1638570
chr1 1665896 1666020
chr1 1668327 1668473
chr1 1669664 1669737
chr1 1670098 1670152
chr1 1671509 1671630
chr1 1675463 1675591
chr1 1676064 1676200
chr1 1676378 1676481
chr1 1701150 1701254
chr1 1701372 1701488
chr1 1701608 1701750
chr1 1703206 1703270
chr1 1703476 1703625
chr1 1703824 1703941
chr1 1704039 1704147
chr1 1704223 1704345
chr1 1704550 1704656
chr1 1704904 1705026
chr1 1705642 1705712
chr1 1738322 1738449
chr1 1738922 1739058
chr1 1739236 1739339
chr1 1790395 1790431
chr1 1916459 1916616
chr1 1916817 1916897
chr1 1916974 1917075
chr1 1917147 1917182
chr1 2025006 2025055
chr1 2025334 2025402
chr1 2025518 2025739
chr1 2027577 2027660
chr1 2028155 2028157
chr1 2029111 2029158
chr1 2029182 2029267
chr1 2029551 2029763
chr1 2029983 2030013
chr1 2050673 2050702
chr1 2056484 2056574
chr1 2059541 2059592
chr1 2135262 2135348
chr1 2144210 2144330
chr1 2150856 2150979
chr1 2155995 2156093
chr1 2169518 2169605
chr1 2172055 2172191
chr1 2172301 2172389
chr1 2173897 2174017
chr1 2174754 2174834
chr1 2175224 2175314
chr1 2184583 2184699
chr1 2184922 2185001
chr1 2192861 2192976
chr1 2193639 2193680
chr1 2405814 2405835
chr1 2406883 2406896
chr1 2410371 2410452
