Chr Start End
chr1 1806484 1806538
chr1 2228841 2228886
chr1 8358213 8358259
chr1 11992633 11992671
chr1 11998996 11999038
chr1 12001394 12001431
chr1 12002005 12002043
chr1 17024012 17024054
chr1 21564090 21564123
chr1 21577411 21577442
chr1 21577471 21577504
chr1 42930736 42930771
chr1 75732867 75732897
chr1 94007686 94007739
chr1 94041318 94041374
chr1 94042781 94042831
chr1 110603544 110603592
chr1 114713879 114713937
chr1 114716097 114716153
chr1 147908077 147908118
chr1 155235814 155235849
chr1 155904464 155904523
chr1 156114981 156115027
chr1 156115068 156115115
chr1 156136065 156136122
chr1 156137180 156137235
chr1 156137642 156137693
chr1 161306724 161306791
chr1 161306834 161306915
chr1 161307282 161307333
chr1 161307360 161307415
chr1 197427851 197427890
chr1 201365609 201365639
chr1 229432579 229432612
chr1 229432848 229432893
chr1 237377357 237377387
chr1 241502508 241502539
chr1 241504187 241504244
chr1 241508614 241508672
chr1 241508749 241508786
chr1 247424346 247424383
chr2 32116176 32116210
chr2 32126952 32126982
chr2 32126984 32127041
chr2 32128443 32128472
chr2 32136559 32136596
chr2 32136869 32136906
chr2 32136910 32136968
chr2 32137150 32137180
chr2 32144976 32145015
chr2 39022750 39022802
chr2 39023099 39023147
chr2 47161726 47161766
chr2 47416337 47416379
chr2 47476415 47476465
chr2 48688055 48688094
chr2 100006784 100006821
chr2 165309355 165309413
chr2 165313967 165314037
chr2 165344608 165344642
chr2 165373318 165373351
chr2 165374684 165374738
chr2 165388685 165388721
chr2 165388744 165388794
chr2 165991481 165991535
chr2 165991908 165992035
chr2 165992051 165992133
chr2 165992210 165992373
chr2 165998058 165998110
chr2 165999734 165999777
chr2 166002465 166002502
chr2 166002644 166002745
chr2 166036500 166036550
chr2 166037782 166037822
chr2 166037831 166037959
chr2 166046941 166046972
chr2 166047622 166047690
chr2 166047696 166047736
chr2 166048877 166048915
chr2 166051836 166051870
chr2 166051905 166051984
chr2 166052844 166052904
chr2 166056446 166056479
chr2 166058586 166058659
chr2 188988071 188988128
chr2 188988589 188988619
chr2 188989395 188989444
chr2 188990297 188990345
chr2 188994259 188994308
chr2 188995045 188995076
