Chr Start End
chr1 2406484 2406580
chr1 6148854 6148992
chr1 7249491 7249627
chr1 7467830 7467902
chr1 9982327 9982335
chr1 10258598 10258621
chr1 11796374 11796385
chr1 11800273 11800278
chr1 11800321 11800323
chr1 11801161 11801168
chr1 11801255 11801257
chr1 11802913 11802930
chr1 11996160 11996177
chr1 11999051 11999062
chr1 15463390 15463392
chr1 17022614 17022616
chr1 17022626 17022628
chr1 17022644 17022646
chr1 17024027 17024029
chr1 17024039 17024041
chr1 17024048 17024050
chr1 17024057 17024059
chr1 17028684 17028686
chr1 17028720 17028722
chr1 17028729 17028731
chr1 17033067 17033069
chr1 18634317 18634539
chr1 20637938 20637964
chr1 21575756 21575758
chr1 21575867 21575869
chr1 21577433 21577435
chr1 22086723 22086734
chr1 23796775 23796777
chr1 23808186 23808188
chr1 23820531 23820533
chr1 26061190 26061318
chr1 26438216 26438218
chr1 26457861 26457863
chr1 26457879 26457881
chr1 29196225 29196236
chr1 32889115 32889150
chr1 33013343 33013345
chr1 33013376 33013378
chr1 33021614 33021625
chr1 39844101 39844153
chr1 42927650 42927652
chr1 45332471 45332473
chr1 45343082 45343136
chr1 46193872 46193886
chr1 46510935 46510977
chr1 47416526 47416642
chr1 52375573 52375575
chr1 55052406 55052411
chr1 58667101 58667103
chr1 61082792 61082819
chr1 68439001 68439003
chr1 68439563 68439565
chr1 75740082 75740090
chr1 75761122 75761127
chr1 75761227 75761229
chr1 75761296 75761310
chr1 75762698 75762712
chr1 84182239 84182265
chr1 90939527 90939598
chr1 92476128 92476196
chr1 94007702 94007725
chr1 94046927 94046950
chr1 100196348 100196350
chr1 109573745 109573762
chr1 109606078 109606092
chr1 109610485 109610508
chr1 110061522 110061564
chr1 110064587 110064725
chr1 114713907 114713921
chr1 114716107 114716133
chr1 119033304 119033318
chr1 119076545 119076556
chr1 119737114 119737116
chr1 119737168 119737179
chr1 150799230 150799232
chr1 151017860 151017862
chr1 151018650 151018652
chr1 151411712 151411772
chr1 151412326 151412397
chr1 151817195 151817261
chr1 154589401 154589403
chr1 155291778 155291780
chr1 155294334 155294339
chr1 155295455 155295457
chr1 155317995 155317997
chr1 155904731 155904745
chr1 155910657 155910680
chr1 156593543 156593545
chr1 156876124 156876150
chr1 160135470 160135472
chr1 161166872 161166889
chr1 161167181 161167192
chr1 161356814 161356816
chr1 164799885 164799890
chr1 164807542 164807678
chr1 164811990 164812038
chr1 165210699 165210777
chr1 168291160 168291425
chr1 168297724 168297775
chr1 169549807 169549812
chr1 169555295 169555300
chr1 171092752 171092754
chr1 171103830 171103838
chr1 171636006 171636011
chr1 171636300 171636302
chr1 173857518 173857529
chr1 173904006 173904011
chr1 180271397 180271535
chr1 180271835 180271877
chr1 181049075 181049077
chr1 182384507 182384509
chr1 182384555 182384557
chr1 185091642 185091740
chr1 202599350 202599352
chr1 209732465 209732479
chr1 209796382 209796553
chr1 209801240 209801396
chr1 228097707 228097716
chr1 231370588 231370590
chr1 234607242 234607385
chr1 241504052 241504057
chr1 241508636 241508641
chr1 243637686 243637712
chr1 244055029 244055097
chr1 244055113 244055181
chr1 244055197 244055268
chr10 47954 47974
chr10 242030 242032
chr10 252348 252455
chr10 4995770 4995790
chr10 8064004 8064078
chr10 8069500 8069574
chr10 13283693 13283695
chr10 13288507 13288509
chr10 13288513 13288515
chr10 49500606 49500629
chr10 51467818 51467823
chr10 58390786 58390861
chr10 62813378 62813446
chr10 62813462 62813530
chr10 62813546 62813620
chr10 69392127 69392129
chr10 71828089 71828091
chr10 72007932 72007958
chr10 74969660 74969746
chr10 80275173 80275178
chr10 87061008 87061010
chr10 87061017 87061019
chr10 87933129 87933131
chr10 89214906 89214908
chr10 89214993 89214995
chr10 93640986 93640988
chr10 100749748 100749915
chr10 100750694 100750892
chr10 100779498 100779514
chr10 117134536 117134584
chr10 121496694 121496702
chr10 121500902 121500928
chr10 122489507 122489509
chr10 122994557 122994628
chr10 122994644 122994712
chr10 122995998 122996066
chr10 123053091 123053105
chr10 129957302 129957327
chr10 129958934 129958969
chr10 132785129 132785171
chr10 132785280 132785418
chr11 533462 533470
chr11 533546 533557
chr11 533876 533881
chr11 534269 534286
chr11 1841067 1841102
chr11 3967638 3967673
chr11 5225604 5225609
chr11 5225616 5225621
chr11 5225652 5225657
chr11 5225679 5225684
chr11 5226610 5226615
chr11 5226634 5226639
chr11 5226643 5226645
chr11 5226700 5226702
chr11 5226781 5226786
chr11 5226799 5226800
chr11 5226930 5226935
chr11 5226941 5226946
chr11 5227016 5227018
chr11 5254328 5254330
chr11 5254415 5254417
chr11 6391903 6391905
chr11 6393632 6393634
chr11 6393930 6393932
chr11 6615171 6615173
chr11 6616719 6616721
chr11 14294843 14294857
chr11 14358784 14358810
chr11 15986320 15986421
chr11 15988997 15989103
chr11 17395895 17395918
chr11 17427111 17427134
chr11 20628013 20628015
chr11 20630716 20630718
chr11 31793761 31793803
chr11 31794032 31794115
chr11 31794630 31794685
chr11 31800824 31800857
chr11 31801561 31801777
chr11 31802704 31802835
chr11 32391985 32392053
chr11 32392670 32392744
chr11 32396261 32396335
chr11 36574181 36574300
chr11 36574478 36574681
chr11 36592717 36592923
chr11 44267581 44267623
chr11 45948886 45948899
chr11 46704841 46704909
chr11 46705009 46705077
chr11 46705270 46705338
chr11 46705351 46705419
chr11 47355281 47355532
chr11 57614471 57614479
chr11 61773967 61774163
chr11 61776322 61776433
chr11 62576992 62576994
chr11 62617122 62617124
chr11 62620502 62620510
chr11 65345962 65346059
chr11 65346247 65346360
chr11 65348850 65348932
chr11 66852548 66852550
chr11 67610465 67610571
chr11 68171020 68171022
chr11 68911532 68911555
chr11 71435462 71435464
chr11 71435579 71435584
chr11 72307247 72307255
chr11 77156661 77156684
chr11 88294357 88294359
chr11 89178557 89178559
chr11 89227885 89227887
chr11 94111032 94111034
chr11 102609070 102609072
chr11 102609927 102609929
chr11 102609942 102609944
chr11 102952115 102952117
chr11 102954253 102954255
chr11 103170204 103170227
chr11 103186479 103186502
chr11 103199351 103199374
chr11 108135183 108135185
chr11 108140140 108140142
chr11 111908935 111908937
chr11 112089001 112089003
chr11 112094830 112094832
chr11 118478071 118478202
chr11 118484934 118484976
chr11 118490249 118490250
chr11 118498370 118498511
chr11 119081117 119081236
chr11 119100332 119100334
chr11 119100769 119100771
chr11 119278211 119278298
chr11 119278510 119278543
chr11 125604217 125604219
chr11 125612595 125612597
chr11 128810470 128810712
chr11 134258606 134258625
chr12 4370559 4370564
chr12 6594498 6594521
chr12 6599773 6599911
chr12 6974426 6974428
chr12 8605381 8605383
chr12 8605474 8605476
chr12 11884450 11884588
chr12 11885926 11886027
chr12 13569993 13569995
chr12 13608768 13608770
chr12 13615211 13615213
chr12 13615226 13615228
chr12 21814687 21814710
chr12 23536569 23536670
chr12 23543211 23543317
chr12 25225707 25225718
chr12 25227344 25227349
chr12 25245280 25245300
chr12 25245331 25245357
chr12 32679457 32679466
chr12 32701415 32701433
chr12 47844839 47844841
chr12 47846444 47846446
chr12 47865072 47865146
chr12 47878968 47879054
chr12 49026555 49026698
chr12 49026759 49026881
chr12 49046412 49046425
chr12 49046609 49046791
chr12 49048659 49048662
chr12 49053476 49053499
chr12 49185922 49185942
chr12 51914439 51914462
chr12 51914498 51914500
chr12 53328488 53328562
chr12 55721278 55721352
chr12 56004485 56004487
chr12 56934103 56934177
chr12 65328584 65328586
chr12 68652037 68652051
chr12 79353601 79353603
chr12 79353619 79353620
chr12 79448945 79448947
chr12 79448951 79448953
chr12 79448969 79448971
chr12 101761175 101761210
chr12 101766101 101766103
chr12 101768044 101768046
chr12 102851729 102851731
chr12 102851744 102851746
chr12 109561042 109561056
chr12 109581426 109581428
chr12 109800754 109800759
chr12 109802991 109802998
chr12 110342429 110342431
chr12 110915740 110915775
chr12 111322421 111322577
chr12 112489092 112489094
chr12 114385517 114385568
chr12 114398573 114398721
chr12 114401826 114401897
chr12 114680879 114681147
chr12 114682812 114682883
chr12 119857559 119857561
chr12 119857604 119857630
chr12 120993588 120993707
chr12 121830165 121830167
chr13 20189447 20189449
chr13 25553861 25553863
chr13 26254720 26254746
chr13 27924285 27924464
chr13 28033957 28033983
chr13 43883879 43883881
chr13 47954544 47954546
chr13 51937578 51937580
chr13 51944271 51944273
chr13 99982962 99983045
chr13 99985047 99985110
chr13 99985323 99985329
chr13 100257595 100257674
chr13 100262729 100262823
chr13 108209988 108209990
chr13 108210435 108210437
chr13 110719720 110719869
chr13 113667972 113667998
chr14 20452058 20452060
chr14 23524194 23524373
chr14 24155603 24155693
chr14 24258379 24258381
chr14 29626491 29626517
chr14 29638694 29638794
chr14 35007349 35007372
chr14 36517734 36517913
chr14 36662902 36663282
chr14 49586040 49586042
chr14 49622388 49622390
chr14 50613277 50613282
chr14 54865348 54865350
chr14 56802314 56802356
chr14 56804188 56804326
chr14 60509780 60509959
chr14 60648641 60648820
chr14 67724540 67724560
chr14 67727055 67727057
chr14 67727130 67727132
chr14 74068914 74068931
chr14 74259602 74259644
chr14 76439651 76439751
chr14 76462545 76462662
chr14 76482016 76482060
chr14 87950722 87950724
chr14 89993419 89993421
chr14 90401285 90401320
chr14 90404379 90404409
chr14 90404481 90404515
chr14 90404689 90404691
chr14 94378557 94378562
chr14 95091291 95091293
chr14 95091300 95091302
chr14 95094137 95094139
chr14 95535288 95535290
chr14 99174277 99174450
chr14 99175474 99175557
chr14 100276559 100276627
chr14 100277418 100277487
chr14 100277502 100277576
chr14 102016934 102016957
chr14 104744825 104744833
chr14 104802365 104802436
chr15 23566065 23566148
chr15 23566713 23566877
chr15 25339236 25339238
chr15 25375586 25375705
chr15 26580326 26580328
chr15 36896650 36896687
chr15 36950324 36950401
chr15 37036814 37036889
chr15 39973717 39973743
chr15 40415480 40415482
chr15 40416353 40416363
chr15 40471850 40471876
chr15 40709060 40709083
chr15 40807809 40807869
chr15 42392693 42392695
chr15 42410428 42410461
chr15 43753825 43753827
chr15 45103977 45104012
chr15 45403150 45403173
chr15 51211009 51211011
chr15 51212461 51212463
chr15 55223948 55223959
chr15 58545789 58545791
chr15 60514626 60514758
chr15 60531766 60531832
chr15 63345543 63345545
chr15 65157900 65157911
chr15 66436881 66436892
chr15 71811494 71811610
chr15 71811766 71811870
chr15 74897049 74897051
chr15 76274430 76274441
chr15 78105900 78105935
chr15 79845363 79845389
chr15 80162305 80162307
chr15 80172239 80172241
chr15 82261688 82261704
chr15 83262951 83263010
chr15 88872038 88872040
chr15 90088605 90088607
chr15 90763085 90763099
chr15 90794253 90794255
chr15 90794310 90794312
chr15 92953379 92953402
chr16 173000 173005
chr16 173207 173212
chr16 173496 173501
chr16 176756 176761
chr16 177011 177016
chr16 177307 177312
chr16 1457335 1457337
chr16 1985990 1985995
chr16 2299425 2299448
chr16 2496266 2496268
chr16 2496872 2496874
chr16 3249455 3249583
chr16 3729647 3729754
chr16 3729815 3729875
chr16 3731192 3731264
chr16 3736716 3736718
chr16 3793501 3793503
chr16 3879832 3879833
chr16 4335060 4335117
chr16 8768247 8768249
chr16 8797943 8797945
chr16 8811152 8811154
chr16 8847751 8847753
chr16 8847760 8847762
chr16 9829588 9829590
chr16 9840744 9840746
chr16 16154996 16155019
chr16 48361970 48362152
chr16 48362201 48362308
chr16 49491284 49491305
chr16 54932585 54932773
chr16 55485307 55485309
chr16 55491830 55491832
chr16 56192353 56192354
chr16 56192574 56192597
chr16 56334790 56334810
chr16 56336738 56336752
chr16 56351468 56351479
chr16 57238879 57238931
chr16 57897796 57897915
chr16 58018984 58018986
chr16 66517166 66517180
chr16 66541915 66541941
chr16 67164860 67164935
chr16 67165522 67165631
chr16 67611965 67612033
chr16 67616756 67616827
chr16 67620697 67620730
chr16 67620745 67620813
chr16 67621453 67621524
chr16 67621543 67621592
chr16 67626555 67626578
chr16 67842555 67842794
chr16 68810278 68810280
chr16 68828200 68828205
chr16 72811616 72811687
chr16 74774627 74774629
chr16 75479199 75479225
chr16 86510708 86510983
chr16 86567546 86567821
chr16 88437563 88437634
chr16 88646760 88646762
chr16 88835244 88835246
