Chr Start End
chr1 1014437 1014439
chr1 1046873 1046878
chr1 1047892 1047894
chr1 1050835 1050837
chr1 1051736 1051744
chr1 1051814 1051816
chr1 1051993 1051994
chr1 1052003 1052005
chr1 1053853 1053978
chr1 1054448 1054530
chr1 1072261 1072416
chr1 1183043 1183048
chr1 1183920 1183927
chr1 1183954 1183956
chr1 1183960 1183962
chr1 1217587 1217622
chr1 1218464 1218499
chr1 1218599 1218634
chr1 1218769 1218770
chr1 1218845 1218880
chr1 1223338 1223358
chr1 1223832 1223848
chr1 1223929 1223964
chr1 1244381 1244386
chr1 1257124 1257126
chr1 1296439 1296510
chr1 1309146 1309148
chr1 1309518 1309520
chr1 1327284 1327286
chr1 1327296 1327298
chr1 1327434 1327436
chr1 1327446 1327448
chr1 1327566 1327568
chr1 1354481 1354486
chr1 1455881 1455904
chr1 1486200 1486223
chr1 1523929 1523952
chr1 1623779 1623922
chr1 1629497 1629567
chr1 1629639 1629677
chr1 1630393 1630494
chr1 1632858 1632863
chr1 1633783 1633788
chr1 1633795 1633797
chr1 1633813 1633815
chr1 1637126 1637128
chr1 1637864 1637866
chr1 1638525 1638551
chr1 1704268 1704270
chr1 1705006 1705008
chr1 1705667 1705693
chr1 1917041 1917075
chr1 1917147 1917149
chr1 2135315 2135348
chr1 2144210 2144330
chr1 2150874 2150900
chr1 2150943 2150945
chr1 2150955 2150957
chr1 2172119 2172121
chr1 2189712 2189782
chr1 2193639 2193680
chr1 2405814 2405835
chr1 2480211 2480246
chr1 2487283 2487288
chr1 2487373 2487375
chr1 2487600 2487602
chr1 2487636 2487638
chr1 2489229 2489231
chr1 2489376 2489378
chr1 2489763 2489765
chr1 2496851 2496853
chr1 2496932 2496934
chr1 2498744 2498746
chr1 2498750 2498752
chr1 2498822 2498824
chr1 2499164 2499172
chr1 2510119 2510121
chr1 2510744 2510749
chr1 2520732 2520734
chr1 2520741 2520743
chr1 2592682 2592684
chr1 2592694 2592696
chr1 2593830 2593832
chr1 2593839 2593844
chr1 2609719 2609721
chr1 2612137 2612142
chr1 3402955 3402999
chr1 3404739 3404764
chr1 3404779 3404847
chr1 3404863 3404887
chr1 3405495 3405543
chr1 3405558 3405626
chr1 3405642 3405649
chr1 3411384 3411446
chr1 3411464 3411532
chr1 3417987 3417998
chr1 3418667 3418725
chr1 3418740 3418745
chr1 3425581 3425648
chr1 3425663 3425737
chr1 3722171 3722173
chr1 3722180 3722182
chr1 3727154 3727156
chr1 3727166 3727168
chr1 6073735 6073740
chr1 6073756 6073758
chr1 6082246 6082248
chr1 6082261 6082263
chr1 6094459 6094464
chr1 6095374 6095376
chr1 6095547 6095564
chr1 6095580 6095582
chr1 6097310 6097330
chr1 6142453 6142476
chr1 6146866 6146872
chr1 6149067 6149076
chr1 6149246 6149381
chr1 6206608 6206727
chr1 6207379 6207380
chr1 6207464 6207512
chr1 6208881 6208992
chr1 6225182 6225184
chr1 6225194 6225196
chr1 6231959 6231961
chr1 6232004 6232006
chr1 6294958 6294960
chr1 6349842 6349844
chr1 6544864 6544887
chr1 6582238 6582300
chr1 6585919 6585926
chr1 6585941 6586009
chr1 6586698 6586766
chr1 6586782 6586788
chr1 6587205 6587271
chr1 6587286 6587292
chr1 6587478 6587544
chr1 6587559 6587630
chr1 6588073 6588141
chr1 6588157 6588197
chr1 6588278 6588307
chr1 6588322 6588393
chr1 6588409 6588443
chr1 6588756 6588791
chr1 6588806 6588845
chr1 6588916 6588946
chr1 6621428 6621574
chr1 6625219 6625293
chr1 6628499 6628671
chr1 6825163 6825211
chr1 7091304 7091372
chr1 7777208 7777216
chr1 7777259 7777264
chr1 7970957 7970959
chr1 7977705 7977707
chr1 8364200 8364256
chr1 8364746 8364768
chr1 8862940 8862942
chr1 8863929 8863931
chr1 8864004 8864006
chr1 8864079 8864081
chr1 8865415 8865417
chr1 8866316 8866318
chr1 8866445 8866447
chr1 8866472 8866474
chr1 8871952 8871954
chr1 8949436 8949438
chr1 8957208 8957210
chr1 8957214 8957216
chr1 8958913 8958915
chr1 9013546 9013548
chr1 9038444 9038446
chr1 9039821 9039823
chr1 9041855 9041857
chr1 9058188 9058190
chr1 9245028 9245051
chr1 9245379 9245381
chr1 9245454 9245456
chr1 9247065 9247067
chr1 9262097 9262099
chr1 9262112 9262114
chr1 9263571 9263573
chr1 9263586 9263588
chr1 9731762 9731767
chr1 9731849 9731854
chr1 9972116 9972124
chr1 9972143 9972145
chr1 9975648 9975650
chr1 9982531 9982542
