Chr Start End
chr1 1232265 1232308
chr1 1804479 1804525
chr1 1804536 1804591
chr1 1806474 1806542
chr1 1815776 1815818
chr1 2228828 2228896
chr1 8358202 8358267
chr1 9975652 9975684
chr1 9982298 9982347
chr1 9982549 9982600
chr1 11022272 11022319
chr1 11022423 11022480
chr1 11022533 11022582
chr1 11109291 11109333
chr1 11124488 11124545
chr1 11128096 11128136
chr1 11157144 11157202
chr1 11794806 11794854
chr1 11992625 11992693
chr1 11996141 11996186
chr1 11997287 11997344
chr1 11998779 11998890
chr1 11998970 11999060
chr1 12001383 12001443
chr1 12001996 12002057
chr1 12002062 12002098
chr1 12011483 12011539
chr1 17022615 17022674
chr1 17023999 17024070
chr1 17028705 17028750
chr1 17033043 17033097
chr1 17044812 17044853
chr1 21561098 21561156
chr1 21563129 21563236
chr1 21564047 21564139
chr1 21564159 21564195
chr1 21568094 21568139
chr1 21570307 21570355
chr1 21573665 21573705
chr1 21573753 21573798
chr1 21575729 21575765
chr1 21575848 21575927
chr1 21576553 21576601
chr1 21577392 21577556
chr1 22078519 22078569
chr1 25800203 25800261
chr1 25813870 25813918
chr1 35893727 35893759
chr1 39468698 39468749
chr1 40080445 40080503
chr1 40097209 40097265
chr1 40819432 40819490
chr1 40819868 40819928
chr1 42927595 42927653
chr1 42927656 42927710
chr1 42928995 42929025
chr1 42929216 42929271
chr1 42929275 42929327
chr1 42929583 42929638
chr1 42930656 42930783
chr1 42943210 42943267
chr1 43338611 43338663
chr1 45327916 45327956
chr1 45332429 45332475
chr1 45332774 45332811
chr1 45333407 45333458
chr1 45500306 45500362
chr1 45508272 45508310
chr1 45508786 45508861
chr1 46189511 46189550
chr1 46192373 46192408
chr1 47416593 47416633
chr1 54999180 54999218
chr1 68431087 68431135
chr1 68431299 68431340
chr1 68438988 68439031
chr1 68440923 68440969
chr1 68444592 68444625
chr1 68444817 68444886
chr1 75724761 75724811
chr1 75732840 75732915
chr1 75733549 75733591
chr1 75740065 75740094
chr1 75745793 75745849
chr1 75749415 75749478
chr1 75761193 75761251
chr1 94000858 94000928
chr1 94001051 94001118
chr1 94001882 94001940
chr1 94005446 94005519
chr1 94007678 94007754
chr1 94008804 94008841
chr1 94010839 94010887
chr1 94011259 94011297
chr1 94011304 94011359
chr1 94014597 94014705
chr1 94015740 94015771
chr1 94019621 94019723
chr1 94021275 94021308
chr1 94021377 94021414
chr1 94029450 94029481
chr1 94029492 94029550
chr1 94030425 94030490
chr1 94031004 94031055
chr1 94031775 94031865
